simTime,platformIndex,x,y,z,vx,vy,vz,damage
420.0,1,421723.52393131796,-6625022.890318212,2436994.0118442667,4196.43994140625,2254.667236328125,5412.5634765625,0.0
420.0,2,-414880.7023377678,6640700.578313953,-2432599.2946276185,-4187.23974609375,-2244.9921875,-5405.02490234375,0.0
430.0,1,463680.70865490957,-6602135.209213314,2490982.3050708883,4194.9970703125,2322.868896484375,5385.09521484375,0.0
430.0,2,-456746.3234115579,6617910.722793219,-2486513.187395816,-4185.884765625,-2312.978759765625,-5377.75390625,0.0
430.0,3,-2178640.0272942116,4388841.875609043,4069473.675500143,,,,0.0
430.0,1,463680.0903404553,-6602135.631834508,2490981.2904051524,4194.8115234375,2322.74169921875,5384.79052734375,0.0
430.0,2,-456745.7103153065,6617911.1380989235,-2486512.1783430977,-4185.70068359375,-2312.85400390625,-5377.451171875,0.0
440.0,1,505619.1341398076,-6578568.483355786,2544688.813625265,4192.99755859375,2390.68798828125,5356.7138671875,0.0
440.0,2,-498594.1007926856,6594443.920335915,-2540147.310683642,-4183.9775390625,-2380.589599609375,-5349.5751953125,0.0
440.0,3,-2178640.0272942116,4388841.875609043,4069473.675500143,,,,0.0
440.0,1,505618.51554547437,-6578568.917811151,2544687.8042467865,4192.8115234375,2390.557373046875,5356.4111328125,0.0
440.0,2,-498593.48735997226,6594444.347324098,-2540146.306768203,-4183.79345703125,-2380.461181640625,-5349.2744140625,0.0
450.0,1,547535.7035110602,-6554324.927098466,2598108.508021524,4190.6259765625,2458.240966796875,5327.7294921875,0.0
450.0,2,-540420.9632083185,6570302.3474262105,-2593496.6617909633,-4181.70166015625,-2447.938720703125,-5320.796875,0.0
450.0,3,-2178640.0272942116,4388841.875609043,4069473.675500143,,,,0.0
450.0,1,547535.0846895607,-6554325.373337743,2598107.5040446883,4190.4404296875,2458.106689453125,5327.42822265625,0.0
450.0,2,-540420.3494897514,6570302.786049941,-2593495.663124742,-4181.517578125,-2447.806884765625,-5320.4970703125,0.0
460.0,1,589426.700636302,-6529407.236186067,2651235.3715225793,4187.8828125,2525.520751953125,5298.14501953125,0.0
460.0,2,-582223.2250456203,6545488.653894347,-2646555.255608791,-4179.0576171875,-2515.01953125,-5291.42138671875,0.0
460.0,3,-2178640.0272942116,4388841.875609043,4069473.675500143,,,,0.0
460.0,1,589426.0816405829,-6529407.69415771,2651234.373061124,4187.697265625,2525.383056640625,5297.845703125,0.0
460.0,2,-582222.6110920799,6545489.104105426,-2646554.2623031554,-4178.873046875,-2514.884033203125,-5291.12353515625,0.0
470.0,1,631288.4084259481,-6503818.176705995,2704063.4206597437,4184.76806640625,2592.5205078125,5267.9638671875,0.0
470.0,2,-623997.1993668788,6520005.5590480715,-2699317.139364217,-4176.04443359375,-2581.824951171875,-5261.4521484375,0.0
470.0,3,-2178640.0272942116,4388841.875609043,4069473.675500143,,,,0.0
470.0,1,631287.7893090419,-6503818.646357264,2704062.4278267864,4184.58251953125,2592.379150390625,5267.666015625,0.0
470.0,2,-623996.5852293334,6520006.020797129,-2699316.151529947,-4175.85986328125,-2581.68603515625,-5261.15576171875,0.0
480.0,1,673117.1091516635,-6477560.584769957,2756586.705910594,4181.28173828125,2659.233154296875,5237.189453125,0.0
480.0,2,-665739.1982156412,6493855.8513746355,-2751776.3932843995,-4172.66259765625,-2648.347900390625,-5230.892578125,0.0
480.0,3,-2178640.0272942116,4388841.875609043,4069473.675500143,,,,0.0
480.0,1,673116.4899666808,-6477561.0660468275,2756585.718818582,4181.095703125,2659.08837890625,5236.8935546875,0.0
480.0,2,-665738.5839451767,6493856.324611089,-2751775.4110316965,-4172.47802734375,-2648.20556640625,-5230.59814453125,0.0
